OCC, dop: 1, writePercent: 0, troughput: 136311567
Locking, dop: 1, writePercent: 0, troughput: 105084329
OCC, dop: 1, writePercent: 10, troughput: 113398329
Locking, dop: 1, writePercent: 10, troughput: 66059634
OCC, dop: 1, writePercent: 20, troughput: 96230440
Locking, dop: 1, writePercent: 20, troughput: 60275699
OCC, dop: 1, writePercent: 30, troughput: 84851469
Locking, dop: 1, writePercent: 30, troughput: 54463723
OCC, dop: 1, writePercent: 40, troughput: 73831792
Locking, dop: 1, writePercent: 40, troughput: 49607204
OCC, dop: 1, writePercent: 50, troughput: 64943180
Locking, dop: 1, writePercent: 50, troughput: 46830742
OCC, dop: 1, writePercent: 60, troughput: 58537483
Locking, dop: 1, writePercent: 60, troughput: 44001921
OCC, dop: 1, writePercent: 70, troughput: 55001730
Locking, dop: 1, writePercent: 70, troughput: 43483808
OCC, dop: 1, writePercent: 80, troughput: 51381261
Locking, dop: 1, writePercent: 80, troughput: 41201027
OCC, dop: 1, writePercent: 90, troughput: 47675024
Locking, dop: 1, writePercent: 90, troughput: 40031865
OCC, dop: 1, writePercent: 100, troughput: 45767285
Locking, dop: 1, writePercent: 100, troughput: 39460157

OCC, dop: 2, writePercent: 0, troughput: 97519361
Locking, dop: 2, writePercent: 0, troughput: 82828877
OCC, dop: 2, writePercent: 10, troughput: 83480625
Locking, dop: 2, writePercent: 10, troughput: 33407459
OCC, dop: 2, writePercent: 20, troughput: 73678210
Locking, dop: 2, writePercent: 20, troughput: 27125647
OCC, dop: 2, writePercent: 30, troughput: 65781053
Locking, dop: 2, writePercent: 30, troughput: 26650971
OCC, dop: 2, writePercent: 40, troughput: 53112448
Locking, dop: 2, writePercent: 40, troughput: 25349466
OCC, dop: 2, writePercent: 50, troughput: 44547686
Locking, dop: 2, writePercent: 50, troughput: 25701287
OCC, dop: 2, writePercent: 60, troughput: 48414455
Locking, dop: 2, writePercent: 60, troughput: 27319157
OCC, dop: 2, writePercent: 70, troughput: 46221307
Locking, dop: 2, writePercent: 70, troughput: 27364314
OCC, dop: 2, writePercent: 80, troughput: 43618262
Locking, dop: 2, writePercent: 80, troughput: 30303367
OCC, dop: 2, writePercent: 90, troughput: 41075204
Locking, dop: 2, writePercent: 90, troughput: 32657444
OCC, dop: 2, writePercent: 100, troughput: 39355052
